TotalMolarFlow,FeedTemperature,ColumnRefluxRatio ,GlycerolMoleFraction
1.5,40,2.225,0.549962269
1.5,40,2.3125,0.54995039
1.5,40,2.4,0.549939039
1.5,45,1.7,0.550060765
1.5,45,1.7875,0.550044026
1.5,45,1.875,0.550028174
1.5,45,1.9625,0.550013139
1.5,45,2.05,0.549998859
1.5,45,2.1375,0.549985277
1.5,45,2.225,0.549972341
1.5,45,2.3125,0.549960007
1.5,45,2.4,0.549948232
1.5,50,1.7,0.550075152
1.5,50,1.7875,0.550057635
1.5,50,1.875,0.550041068
1.5,50,1.9625,0.550025374
1.5,50,2.05,0.550010484
1.5,50,2.1375,0.549996338
1.5,50,2.225,0.54998288
1.5,50,2.3125,0.549970059
1.5,50,2.4,0.549957832
1.5,55,1.7,0.550090328
1.5,55,1.7875,0.550071972
1.5,55,1.875,0.550054635
1.5,55,1.9625,0.550038232
1.5,55,2.05,0.550022688
1.5,55,2.1375,0.550007937
1.5,55,2.225,0.549993919
1.5,55,2.3125,0.549980579
1.5,55,2.4,0.549967868
1.5,60,1.7,0.550106361
1.5,60,1.7875,0.550087101
1.5,60,1.875,0.550068932
1.5,60,1.9625,0.550051764
1.5,60,2.05,0.550035517
1.5,60,2.1375,0.550020117
1.5,60,2.225,0.550005498
1.5,60,2.3125,0.549991602
1.5,60,2.4,0.549978375
1.5,65,1.7,0.550123335
1.5,65,1.7875,0.550103092
1.5,65,1.875,0.550084022
1.5,65,1.9625,0.550066028
1.5,65,2.05,0.550049022
1.5,65,2.1375,0.550032923
1.5,65,2.225,0.55001766
1.5,65,2.3125,0.550003167
1.5,65,2.4,0.549989387
1.5,70,1.7,0.550141336
1.5,70,1.7875,0.550120023
1.5,70,1.875,0.550099975
1.5,70,1.9625,0.550081088
1.5,70,2.05,0.550063262
1.5,70,2.1375,0.55004641
1.5,70,2.225,0.550030451
1.5,70,2.3125,0.550015317
1.5,70,2.4,0.550000944
1.5,75,1.7,0.550154619
1.5,75,1.7875,0.550132429
1.5,75,1.875,0.550111584
1.5,75,1.9625,0.55009197
1.5,75,2.05,0.55007348
1.5,75,2.1375,0.55005602
1.5,75,2.225,0.550039504
1.5,75,2.3125,0.550023856
1.5,75,2.4,0.55000901
2,35,1.7,0.499415874
2,35,1.7875,0.499356346
2,35,1.875,0.499299226
2,35,1.9625,0.499244495
2,35,2.05,0.499192011
2,35,2.1375,0.499141645
2,35,2.225,0.499093273
2,35,2.3125,0.499046784
2,35,2.4,0.499002073
2,40,1.7,0.4994926
2,40,1.7875,0.499429893
2,40,1.875,0.499369703
2,40,1.9625,0.499312084
2,40,2.05,0.499256881
2,40,2.1375,0.499203949
2,40,2.225,0.499153157
2,40,2.3125,0.499104381
2,40,2.4,0.499057508
2,45,1.7,0.499574194
2,45,1.7875,0.499507896
2,45,1.875,0.499444383
2,45,1.9625,0.499383641
2,45,2.05,0.499325499
2,45,2.1375,0.4992698
2,45,2.225,0.499216399
2,45,2.3125,0.499165161
2,45,2.4,0.499115962
2,50,1.7,0.499660875
2,50,1.7875,0.499590754
2,50,1.875,0.499523637
2,50,1.9625,0.499459512
2,50,2.05,0.49939819
2,50,2.1375,0.4993395
2,50,2.225,0.499283282
2,50,2.3125,0.499229388
2,50,2.4,0.499177683
2,55,1.7,0.499753193
2,55,1.7875,0.499678913
2,55,1.875,0.49960788
2,55,1.9625,0.499540082
2,55,2.05,0.499475314
2,55,2.1375,0.499413385
2,55,2.225,0.49935412
2,55,2.3125,0.499297356
2,55,2.4,0.499242946
2,60,1.7,0.499851683
2,60,1.7875,0.499772869
2,60,1.875,0.499697572
2,60,1.9625,0.499625782
